cip_code,cip_title,stem
01.1104,Agricultural and Horticultural Plant Breeding.,1
01.1105,Plant Protection and Integrated Pest Management.,1
01.1106,Range Science and Management.,1
01.1199,"Plant Sciences, Other.",1
01.1201,"Soil Science and Agronomy, General.",1
01.1202,Soil Chemistry and Physics.,1
01.1203,Soil Microbiology.,1
01.1299,"Soil Sciences, Other.",1
01.9999,"Agriculture, Agriculture Operations, and Related Sciences, Other.",0
03.0101,"Natural Resources/Conservation, General.",1
03.0103,Environmental Studies.,1
03.0104,Environmental Science.,1
03.0199,"Natural Resources Conservation and Research, Other.",1
03.0201,Natural Resources Management and Policy.,0
03.0204,Natural Resource Economics.,0
03.0205,"Water, Wetlands, and Marine Resources Management.",1
03.0206,Land Use Planning and Management/Development.,0
03.0207,Natural Resource Recreation and Tourism.,0
03.0208,Natural Resources Law Enforcement and Protective Services.,0
03.0299,"Natural Resources Management and Policy, Other.",0
03.0301,Fishing and Fisheries Sciences and Management.,0
03.0501,"Forestry, General.",0
03.0502,Forest Sciences and Biology.,1
03.0506,Forest Management/Forest Resources Management.,0
03.0508,Urban Forestry.,1
03.0509,Wood Science and Wood Products/Pulp and Paper Technology.,1
03.0510,Forest Resources Production and Management.,0
03.0511,Forest Technology/Technician.,0
03.0599,"Forestry, Other.",0
03.0601,"Wildlife, Fish and Wildlands Science and Management.",1
03.9999,"Natural Resources and Conservation, Other.",0
04.0201,Architecture.,0
04.0301,"City/Urban, Community and Regional Planning.",0
04.0401,Environmental Design/Architecture.,0
04.0501,Interior Architecture.,0
04.0601,Landscape Architecture.,0
04.0801,"Architectural History and Criticism, General.",0
04.0901,Architectural Technology/Technician.,0
04.0902,Architectural and Building Sciences/Technology.,1
04.0999,"Architectural Sciences and Technology, Other.",0
04.1001,Real Estate Development.,0
04.9999,"Architecture and Related Services, Other.",0
05.0101,African Studies.,0
05.0102,American/United States Studies/Civilization.,0
05.0103,Asian Studies/Civilization.,0
05.0104,East Asian Studies.,0
05.0105,"Russian, Central European, East European and Eurasian Studies.",0
05.0106,European Studies/Civilization.,0
05.0107,Latin American Studies.,0
05.0108,Near and Middle Eastern Studies.,0
05.0109,Pacific Area/Pacific Rim Studies.,0
05.0110,Russian Studies.,0
05.0111,Scandinavian Studies.,0
05.0112,South Asian Studies.,0
05.0113,Southeast Asian Studies.,0
05.0114,Western European Studies.,0
05.0115,Canadian Studies.,0
05.0116,Balkans Studies.,0
05.0117,Baltic Studies.,0
05.0118,Slavic Studies.,0
05.0119,Caribbean Studies.,0
05.0120,Ural-Altaic and Central Asian Studies.,0
05.0121,Commonwealth Studies.,0
05.0122,"Regional Studies (U.S., Canadian, Foreign)",0
05.0123,Chinese Studies.,0
05.0124,French Studies.,0
05.0125,German Studies.,0
05.0126,Italian Studies.,0
05.0127,Japanese Studies.,0
05.0128,Korean Studies.,0
05.0129,Polish Studies.,0
05.0130,Spanish and Iberian Studies.,0
05.0131,Tibetan Studies.,0
05.0132,Ukraine Studies.,0
05.0133,Irish Studies.,0
05.0134,Latin American and Caribbean Studies.,0
05.0199,"Area Studies, Other.",0
05.0200,Ethnic Studies.,0
05.0201,African-American/Black Studies.,0
05.0202,American Indian/Native American Studies.,0
05.0203,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies.",0
05.0206,Asian-American Studies.,0
05.0207,Women's Studies.,0
05.0208,Gay/Lesbian Studies.,0
05.0209,Folklore Studies.,0
05.0210,Disability Studies.,0
05.0211,Deaf Studies.,0
05.0299,"Ethnic, Cultural Minority, Gender, and Group Studies, Other.",0
05.9999,"Area, Ethnic, Cultural, and Gender Studies, Other.",0
09.0100,"Communication, General.",0
09.0101,Speech Communication and Rhetoric.,0
09.0102,Mass Communication/Media Studies.,0
09.0199,"Communication and Media Studies, Other.",0
09.0401,Journalism.,0
09.0402,Broadcast Journalism.,0
09.0404,Photojournalism.,0
09.0499,"Journalism, Other.",0
09.0701,Radio and Television.,0
09.0702,Digital Communication and Media/Multimedia.,1
09.0799,"Radio, Television, and Digital Communication, Other.",0
09.0900,"Public Relations, Advertising, and Applied Communication.",0
09.0901,"Organizational Communication, General.",0
09.0902,Public Relations/Image Management.,0
09.0903,Advertising.,0
09.0904,Political Communication.,0
09.0905,Health Communication.,0
09.0906,Sports Communication.,0
09.0907,International and Intercultural Communication.,0
09.0908,Technical and Scientific Communication.,0
09.0999,"Public Relations, Advertising, and Applied Communication, Other",0
09.1001,Publishing.,0
09.9999,"Communication, Journalism, and Related Programs, Other.",0
10.0105,Communications Technology/Technician.,0
10.0201,Photographic and Film/Video Technology/Technician and Assistant.,0
10.0202,Radio and Television Broadcasting Technology/Technician.,0
10.0203,Recording Arts Technology/Technician.,0
10.0299,"Audiovisual Communications Technologies/Technicians, Other.",0
10.0301,"Graphic Communications, General.",0
10.0302,Printing Management.,0
10.0303,Prepress/Desktop Publishing and Digital Imaging Design.,0
10.0304,"Animation, Interactive Technology, Video Graphics and Special Effects.",0
10.0305,"Graphic and Printing Equipment Operator, General Production.",0
10.0306,Platemaker/Imager.,0
10.0307,Printing Press Operator.,0
10.0308,Computer Typography and Composition Equipment Operator.,0
10.0399,"Graphic Communications, Other.",0
10.9999,"Communications Technologies/Technicians and Support Services, Other.",0
11.0101,"Computer and Information Sciences, General.",1
11.0102,Artificial Intelligence.,1
11.0103,Information Technology.,1
11.0104,Informatics.,1
11.0199,"Computer and Information Sciences,  Other.",1
11.0201,"Computer Programming/Programmer, General.",1
11.0202,"Computer Programming, Specific Applications.",1
11.0203,"Computer Programming, Vendor/Product Certification.",1
11.0299,"Computer Programming, Other.",1
11.0301,Data Processing and Data Processing Technology/Technician.,1
11.0401,Information Science/Studies.,1
11.0501,Computer Systems Analysis/Analyst.,1
11.0601,"Data Entry/Microcomputer Applications, General.",0
11.0602,Word Processing.,0
11.0699,"Data Entry/Microcomputer Applications, Other.",0
11.0701,Computer Science.,1
11.0801,"Web Page, Digital/Multimedia and Information Resources Design.",1
11.0802,Data Modeling/Warehousing and Database Administration.,1
11.0803,Computer Graphics.,1
11.0804,"Modeling, Virtual Environments and Simulation.",1
11.0899,"Computer Software and Media Applications, Other.",1
11.0901,Computer Systems Networking and Telecommunications.,1
11.1001,Network and System Administration/Administrator.,1
11.1002,"System, Networking, and LAN/WAN Management/Manager.",1
11.1003,Computer and Information Systems Security/Information Assurance.,1
11.1004,Web/Multimedia Management and Webmaster.,1
11.1005,Information Technology Project Management.,1
11.1006,Computer Support Specialist.,1
11.1099,"Computer/Information Technology Services Administration and Management, Other.",1
11.9999,"Computer and Information Sciences and Support Services, Other.",0
12.0301,"Funeral Service and Mortuary Science, General.",0
12.0302,Funeral Direction/Service.,0
12.0303,Mortuary Science and Embalming/Embalmer.,0
12.0399,"Funeral Service and Mortuary Science, Other.",0
12.0401,"Cosmetology/Cosmetologist, General.",0
12.0402,Barbering/Barber.,0
12.0404,Electrolysis/Electrology and Electrolysis Technician.,0
12.0406,Make-Up Artist/Specialist.,0
12.0407,Hair Styling/Stylist and Hair Design.,0
12.0408,Facial Treatment Specialist/Facialist.,0
12.0409,Aesthetician/Esthetician and Skin Care Specialist.,0
12.0410,Nail Technician/Specialist and Manicurist.,0
12.0411,Permanent Cosmetics/Makeup and Tattooing.,0
12.0412,Salon/Beauty Salon Management/Manager.,0
12.0413,"Cosmetology, Barber/Styling, and Nail Instructor.",0
12.0414,Master Aesthetician/Esthetician.,0
12.0499,"Cosmetology and Related Personal Grooming Arts, Other.",0
12.0500,"Cooking and Related Culinary Arts, General.",0
12.0501,Baking and Pastry Arts/Baker/Pastry Chef.,0
12.0502,Bartending/Bartender.,0
12.0503,Culinary Arts/Chef Training.,0
12.0504,"Restaurant, Culinary, and Catering Management/Manager.",0
12.0505,Food Preparation/Professional Cooking/Kitchen Assistant.,0
12.0506,Meat Cutting/Meat Cutter.,0
12.0507,"Food Service, Waiter/Waitress, and Dining Room Management/Manager.",0
12.0508,Institutional Food Workers.,0
12.0509,Culinary Science/Culinology.,0
12.0510,Wine Steward/Sommelier.,0
12.0599,"Culinary Arts and Related Services, Other.",0
12.9999,"Personal and Culinary Services, Other.",0
13.0101,"Education, General.",0
13.0201,Bilingual and Multilingual Education.,0
13.0202,Multicultural Education.,0
13.0203,Indian/Native American Education.,0
13.0299,"Bilingual, Multilingual, and Multicultural Education, Other.",0
13.0301,Curriculum and Instruction.,0
13.0401,"Educational Leadership and Administration, General.",0
13.0402,Administration of Special Education.,0
13.0403,Adult and Continuing Education Administration.,0
13.0404,"Educational, Instructional, and Curriculum Supervision.",0
13.0406,Higher Education/Higher Education Administration.,0
13.0407,Community College Education.,0
13.0408,Elementary and Middle School Administration/Principalship.,0
13.0409,Secondary School Administration/Principalship.,0
13.0410,Urban Education and Leadership.,0
13.0411,Superintendency and Educational System Administration.,0
13.0499,"Educational Administration and Supervision, Other.",0
13.0501,Educational/Instructional Technology.,0
13.0601,Educational Evaluation and Research.,0
13.0603,Educational Statistics and Research Methods.,0
13.0604,"Educational Assessment, Testing, and Measurement.",0
13.0607,Learning Sciences.,0
13.0699,"Educational Assessment, Evaluation, and Research, Other.",0
13.0701,International and Comparative Education.,0
13.0901,Social and Philosophical Foundations of Education.,0
13.1001,"Special Education and Teaching, General.",0
13.1003,Education/Teaching of Individuals with Hearing Impairments Including Deafness.,0
13.1004,Education/Teaching of the Gifted and Talented.,0
13.1005,Education/Teaching of Individuals with Emotional Disturbances.,0
13.1006,Education/Teaching of Individuals with Mental Retardation.,0
13.1007,Education/Teaching of Individuals with Multiple Disabilities.,0
13.1008,Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments.,0
13.1009,Education/Teaching of Individuals with Vision Impairments Including Blindness.,0
13.1011,Education/Teaching of Individuals with Specific Learning Disabilities.,0
13.1012,Education/Teaching of Individuals with Speech or Language Impairments.,0
13.1013,Education/Teaching of Individuals with Autism.,0
13.1014,Education/Teaching of Individuals Who are Developmentally Delayed.,0
13.1015,Education/Teaching of Individuals in Early Childhood Special Education Programs.,0
13.1016,Education/Teaching of Individuals with Traumatic Brain Injuries.,0
13.1017,Education/Teaching of Individuals in Elementary Special Education Programs.,0
13.1018,Education/Teaching of Individuals in Junior High/Middle School Special Education Programs.,0
13.1019,Education/Teaching of Individuals in Secondary Special Education Programs.,0
13.1099,"Special Education and Teaching, Other.",0
13.1101,Counselor Education/School Counseling and Guidance Services.,0
13.1102,College Student Counseling and Personnel Services.,0
13.1199,"Student Counseling and Personnel Services, Other.",0
13.1201,Adult and Continuing Education and Teaching.,0
13.1202,Elementary Education and Teaching.,0
13.1203,Junior High/Intermediate/Middle School Education and Teaching.,0
13.1205,Secondary Education and Teaching.,0
13.1206,"Teacher Education, Multiple Levels.",0
13.1207,Montessori Teacher Education.,0
13.1208,Waldorf/Steiner Teacher Education.,0
13.1209,Kindergarten/Preschool Education and Teaching.,0
13.1210,Early Childhood Education and Teaching.,0
13.1299,"Teacher Education and Professional Development, Specific Levels and Methods, Other.",0
13.1301,Agricultural Teacher Education.,0
13.1302,Art Teacher Education.,0
13.1303,Business Teacher Education.,0
13.1304,Driver and Safety Teacher Education.,0
13.1305,English/Language Arts Teacher Education.,0
13.1306,Foreign Language Teacher  Education.,0
13.1307,Health Teacher Education.,0
13.1308,Family and Consumer Sciences/Home Economics Teacher Education.,0
13.1309,Technology Teacher Education/Industrial Arts Teacher Education.,0
13.1310,Sales and Marketing Operations/Marketing and Distribution   Teacher Education.,0
13.1311,Mathematics Teacher Education.,0
13.1312,Music Teacher Education.,0
13.1314,Physical Education Teaching and Coaching.,0
13.1315,Reading Teacher Education.,0
13.1316,Science Teacher Education/General Science Teacher Education.,0
13.1317,Social Science Teacher Education.,0
13.1318,Social Studies Teacher Education.,0
13.1319,Technical Teacher Education.,0
13.1320,Trade and Industrial Teacher Education.,0
13.1321,Computer Teacher Education.,0
13.1322,Biology Teacher Education.,0
13.1323,Chemistry Teacher Education.,0
13.1324,Drama and Dance Teacher Education.,0
13.1325,French Language Teacher Education.,0
13.1326,German Language Teacher Education.,0
13.1327,Health Occupations Teacher Education.,0
13.1328,History Teacher Education.,0
13.1329,Physics Teacher Education.,0
13.1330,Spanish Language Teacher Education.,0
13.1331,Speech Teacher Education.,0
13.1332,Geography Teacher Education.,0
13.1333,Latin Teacher Education.,0
13.1334,School Librarian/School Library Media Specialist.,0
13.1335,Psychology Teacher Education.,0
13.1337,Earth Science Teacher Education.,0
13.1338,Environmental Education.,0
13.1399,"Teacher Education and Professional Development, Specific Subject Areas, Other.",0
13.1401,Teaching English as a Second or Foreign Language/ESL Language Instructor.,0
13.1402,Teaching French as a Second or Foreign Language.,0
13.1499,"Teaching English or French as a Second or Foreign Language, Other.",0
13.1501,Teacher Assistant/Aide.,0
13.1502,Adult Literacy Tutor/Instructor.,0
13.1599,"Teaching Assistants/Aides, Other.",0
13.9999,"Education, Other.",0
14.0101,"Engineering, General.",1
14.0102,Pre-Engineering.,1
14.0201,"Aerospace, Aeronautical and Astronautical/Space Engineering.",1
14.0301,Agricultural Engineering.,1
14.0401,Architectural Engineering.,1
14.0501,Bioengineering and Biomedical Engineering.,1
14.0601,Ceramic Sciences and Engineering.,1
14.0701,Chemical Engineering.,1
14.0702,Chemical and Biomolecular Engineering.,1
14.0799,"Chemical Engineering, Other.",1
14.0801,"Civil Engineering, General.",1
14.0802,Geotechnical and Geoenvironmental Engineering.,1
14.0803,Structural Engineering.,1
14.0804,Transportation and Highway Engineering.,1
14.0805,Water Resources Engineering.,1
14.0899,"Civil Engineering, Other.",1
14.0901,"Computer Engineering, General.",1
14.0902,Computer Hardware Engineering.,1
14.0903,Computer Software Engineering.,1
14.0999,"Computer Engineering, Other.",1
14.1001,Electrical and Electronics Engineering,1
14.1003,Laser and Optical Engineering.,1
14.1004,Telecommunications Engineering.,1
14.1099,"Electrical, Electronics and Communications Engineering, Other.",1
14.1101,Engineering Mechanics.,1
14.1201,Engineering Physics/Applied Physics.,1
14.1301,Engineering Science.,1
14.1401,Environmental/Environmental Health Engineering.,1
14.1801,Materials Engineering.,1
14.1901,Mechanical Engineering.,1
14.2001,Metallurgical Engineering.,1
14.2101,Mining and Mineral Engineering.,1
14.2201,Naval Architecture and Marine Engineering.,1
14.2301,Nuclear Engineering.,1
14.2401,Ocean Engineering.,1
14.2501,Petroleum Engineering.,1
14.2701,Systems Engineering.,1
14.2801,Textile Sciences and Engineering.,1
14.3101,Materials Science.,1
14.3201,Polymer/Plastics Engineering.,1
14.3301,Construction Engineering.,1
14.3401,Forest Engineering.,1
14.3501,Industrial Engineering.,1
14.3601,Manufacturing Engineering.,1
14.3701,Operations Research.,1
14.3801,Surveying Engineering.,1
14.3901,Geological/Geophysical Engineering.,1
14.4001,Paper Science and Engineering.,1
14.4101,Electromechanical Engineering.,1
14.4201,"Mechatronics, Robotics, and Automation Engineering.",1
14.4301,Biochemical Engineering.,1
14.4401,Engineering Chemistry.,1
14.4501,Biological/Biosystems Engineering.,1
14.9999,"Engineering, Other.",1
15.0000,"Engineering Technology, General.",1
15.0101,Architectural Engineering Technology/Technician.,1
15.0201,Civil Engineering Technology/Technician.,1
15.0303,"Electrical, Electronic and Communications Engineering Technology/Technician.",1
15.0304,Laser and Optical Technology/Technician.,1
15.0305,Telecommunications Technology/Technician.,1
15.0306,Integrated Circuit Design.,1
15.0399,"Electrical and Electronic Engineering Technologies/Technicians, Other.",1
15.0401,Biomedical Technology/Technician.,1
15.0403,Electromechanical Technology/Electromechanical Engineering Technology.,1
15.0404,Instrumentation Technology/Technician.,1
15.0405,Robotics Technology/Technician.,1
15.0406,Automation Engineer Technology/Technician.,1
15.0499,"Electromechanical and Instrumentation and Maintenance Technologies/Technicians, Other.",1
15.0501,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician.",1
15.0503,Energy Management and Systems Technology/Technician.,1
15.0505,Solar Energy Technology/Technician.,1
15.0506,Water Quality and Wastewater Treatment Management and Recycling Technology/Technician.,1
15.0507,Environmental Engineering Technology/Environmental Technology.,1
15.0508,Hazardous Materials Management and Waste Technology/Technician.,1
15.0599,"Environmental Control Technologies/Technicians, Other.",1
15.0607,Plastics and Polymer Engineering Technology/Technician.,1
15.0611,Metallurgical Technology/Technician.,1
15.0612,Industrial Technology/Technician.,1
15.0613,Manufacturing Engineering Technology/Technician.,1
15.0614,Welding Engineering Technology/Technician.,1
15.0615,Chemical Engineering Technology/Technician.,1
15.0616,Semiconductor Manufacturing Technology.,1
15.0699,"Industrial Production Technologies/Technicians, Other.",1
15.0701,Occupational Safety and Health Technology/Technician.,1
15.0702,Quality Control Technology/Technician.,1
15.0703,Industrial Safety Technology/Technician.,1
15.0704,Hazardous Materials Information Systems Technology/Technician.,1
15.0799,"Quality Control and Safety Technologies/Technicians, Other.",1
15.0801,Aeronautical/Aerospace Engineering Technology/Technician.,1
15.0803,Automotive Engineering Technology/Technician.,1
15.0805,Mechanical Engineering/Mechanical Technology/Technician.,1
15.0899,"Mechanical Engineering Related Technologies/Technicians, Other.",1
15.0901,Mining Technology/Technician.,1
15.0903,Petroleum Technology/Technician.,1
15.0999,"Mining and Petroleum Technologies/Technicians, Other.",1
15.1001,Construction Engineering Technology/Technician.,1
15.1102,Surveying Technology/Surveying.,1
15.1103,Hydraulics and Fluid Power Technology/Technician.,1
15.1199,"Engineering-Related Technologies, Other.",1
15.1201,Computer Engineering Technology/Technician.,1
15.1202,Computer Technology/Computer Systems Technology.,1
15.1203,Computer Hardware Technology/Technician.,1
15.1204,Computer Software Technology/Technician.,1
15.1299,"Computer Engineering Technologies/Technicians, Other.",1
15.1301,"Drafting and Design Technology/Technician, General.",1
15.1302,CAD/CADD Drafting and/or Design Technology/Technician.,1
15.1303,Architectural Drafting and Architectural CAD/CADD.,1
15.1304,Civil Drafting and Civil Engineering CAD/CADD.,1
15.1305,Electrical/Electronics Drafting and Electrical/Electronics CAD/CADD.,1
15.1306,Mechanical Drafting and Mechanical Drafting CAD/CADD.,1
15.1399,"Drafting/Design Engineering Technologies/Technicians, Other.",1
15.1401,Nuclear Engineering Technology/Technician.,1
15.1501,Engineering/Industrial Management.,1
15.1502,Engineering Design.,1
15.1503,Packaging Science.,1
15.1599,"Engineering-Related Fields, Other.",1
15.1601,Nanotechnology.,1
15.9999,"Engineering Technologies and Engineering-Related Fields, Other.",1
16.0101,"Foreign Languages and Literatures, General.",0
16.0102,Linguistics.,0
16.0103,Language Interpretation and Translation.,0
16.0104,Comparative Literature.,0
16.0105,Applied Linguistics.,0
16.0199,"Linguistic, Comparative, and Related Language Studies and Services, Other.",0
16.0201,"African Languages, Literatures, and Linguistics.",0
16.0300,"East Asian Languages, Literatures, and Linguistics, General.",0
16.0301,Chinese Language and Literature.,0
16.0302,Japanese Language and Literature.,0
16.0303,Korean Language and Literature.,0
16.0304,Tibetan Language and Literature.,0
16.0399,"East Asian Languages, Literatures, and Linguistics, Other.",0
16.0400,"Slavic Languages, Literatures, and Linguistics, General.",0
16.0401,"Baltic Languages, Literatures, and Linguistics.",0
16.0402,Russian Language and Literature.,0
16.0404,Albanian Language and Literature.,0
16.0405,Bulgarian Language and Literature.,0
16.0406,Czech Language and Literature.,0
16.0407,Polish Language and Literature.,0
16.0408,"Bosnian, Serbian, and Croatian Languages and Literatures.",0
16.0409,Slovak Language and Literature.,0
16.0410,Ukrainian Language and Literature.,0
16.0499,"Slavic, Baltic, and Albanian Languages, Literatures, and Linguistics, Other.",0
16.0500,"Germanic Languages, Literatures, and Linguistics, General.",0
16.0501,German Language and Literature.,0
16.0502,"Scandinavian Languages, Literatures, and Linguistics.",0
16.0503,Danish Language and Literature.,0
16.0504,Dutch/Flemish Language and Literature.,0
16.0505,Norwegian Language and Literature.,0
16.0506,Swedish Language and Literature.,0
16.0599,"Germanic Languages, Literatures, and Linguistics, Other.",0
16.0601,Modern Greek Language and Literature.,0
16.0700,"South Asian Languages, Literatures, and Linguistics, General.",0
16.0701,Hindi Language and Literature.,0
16.0702,"Sanskrit and Classical Indian Languages, Literatures, and Linguistics.",0
16.0704,Bengali Language and Literature.,0
16.0705,Punjabi Language and Literature.,0
16.0706,Tamil Language and Literature.,0
16.0707,Urdu Language and Literature.,0
16.0799,"South Asian Languages, Literatures, and Linguistics, Other.",0
16.0801,"Iranian Languages, Literatures, and Linguistics.",0
16.0900,"Romance Languages, Literatures, and Linguistics, General.",0
16.0901,French Language and Literature.,0
16.0902,Italian Language and Literature.,0
16.0904,Portuguese Language and Literature.,0
16.0905,Spanish Language and Literature.,0
16.0906,Romanian Language and Literature.,0
16.0907,Catalan Language and Literature.,0
16.0908,"Hispanic and Latin American Languages, Literatures, and Linguistics, General.",0
16.0999,"Romance Languages, Literatures, and Linguistics, Other.",0
16.1001,"American Indian/Native American Languages, Literatures, and Linguistics.",0
16.1100,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, General.",0
16.1101,Arabic Language and Literature.,0
16.1102,Hebrew Language and Literature.,0
16.1103,"Ancient Near Eastern and Biblical Languages, Literatures, and Linguistics.",0
16.1199,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics, Other.",0
16.1200,"Classics and Classical Languages, Literatures, and Linguistics, General.",0
16.1202,Ancient/Classical Greek Language and Literature.,0
16.1203,Latin Language and Literature.,0
16.1299,"Classics and Classical Languages, Literatures, and Linguistics, Other.",0
16.1301,"Celtic Languages, Literatures, and Linguistics.",0
16.1400,"Southeast Asian Languages, Literatures, and Linguistics, General.",0
16.1401,"Australian/Oceanic/Pacific Languages, Literatures, and Linguistics.",0
16.1402,Indonesian/Malay Languages and Literatures.,0
16.1403,Burmese Language and Literature.,0
16.1404,Filipino/Tagalog Language and Literature.,0
16.1405,Khmer/Cambodian Language and Literature.,0
16.1406,Lao Language and Literature.,0
16.1407,Thai Language and Literature.,0
16.1408,Vietnamese Language and Literature.,0
16.1499,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics, Other.",0
16.1501,Turkish Language and Literature.,0
16.1502,"Uralic Languages, Literatures, and Linguistics.",0
16.1503,Hungarian/Magyar Language and Literature.,0
16.1504,Mongolian Language and Literature.,0
16.1599,"Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics, Other.",0
16.1601,American Sign Language (ASL).,0
16.1602,Linguistics of ASL and Other Sign Languages.,0
16.1603,Sign Language Interpretation and Translation.,0
16.1699,"American Sign Language, Other.",0
16.9999,"Foreign Languages, Literatures, and Linguistics, Other.",0
19.0000,Work and Family Studies.,0
19.0101,"Family and Consumer Sciences/Human Sciences, General.",0
19.0201,Business Family and Consumer Sciences/Human Sciences.,0
19.0202,Family and Consumer Sciences/Human Sciences Communication.,0
19.0203,Consumer Merchandising/Retailing Management.,0
19.0299,"Family and Consumer Sciences/Human Sciences Business Services, Other.",0
19.0401,"Family Resource Management Studies, General.",0
19.0402,Consumer Economics.,0
19.0403,Consumer Services and Advocacy.,0
19.0499,"Family and Consumer Economics and Related Services, Other.",0
19.0501,"Foods, Nutrition, and Wellness Studies, General.",0
19.0504,Human Nutrition.,0
19.0505,Foodservice Systems Administration/Management.,0
19.0599,"Foods, Nutrition, and Related Services, Other.",0
19.0601,"Housing and Human Environments, General.",0
19.0604,Facilities Planning and Management.,0
19.0605,Home Furnishings and Equipment Installers.,0
19.0699,"Housing and Human Environments, Other.",0
19.0701,"Human Development and Family Studies, General.",0
19.0702,Adult Development and Aging.,0
19.0704,Family Systems.,0
19.0706,Child Development.,0
19.0707,Family and Community Services.,0
19.0708,Child Care and Support Services Management.,0
19.0709,Child Care Provider/Assistant.,0
19.0710,Developmental Services Worker.,0
19.0799,"Human Development, Family Studies, and Related Services, Other.",0
19.0901,"Apparel and Textiles, General.",0
19.0902,Apparel and Textile Manufacture.,0
19.0904,Textile Science.,0
19.0905,Apparel and Textile Marketing Management.,0
19.0906,Fashion and Fabric Consultant.,0
19.0999,"Apparel and Textiles, Other.",0
19.9999,"Family and Consumer Sciences/Human Sciences, Other.",0
21.0101,Technology Education/Industrial Arts.,0
22.0000,"Legal Studies, General.",0
22.0001,Pre-Law Studies.,0
22.0101,Law.,0
22.0201,"Advanced Legal Research/Studies, General.",0
22.0202,Programs for Foreign Lawyers.,0
22.0203,American/U.S. Law/Legal Studies/Jurisprudence.,0
22.0204,Canadian Law/Legal Studies/Jurisprudence.,0
22.0205,"Banking, Corporate, Finance, and Securities Law.",0
22.0206,Comparative Law.,0
22.0207,"Energy, Environment, and Natural Resources Law.",0
22.0208,Health Law.,0
22.0209,International Law and Legal Studies.,0
22.0210,"International Business, Trade, and Tax Law.",0
22.0211,Tax Law/Taxation.,0
22.0212,Intellectual Property Law.,0
22.0299,"Legal Research and Advanced Professional Studies, Other.",0
22.0301,Legal Administrative Assistant/Secretary.,0
22.0302,Legal Assistant/Paralegal.,0
22.0303,Court Reporting/Court Reporter.,0
22.0399,"Legal Support Services, Other.",0
22.9999,"Legal Professions and Studies, Other.",0
23.0101,"English Language and Literature, General.",0
23.0401,English Composition.,0
23.0501,Creative Writing.,0
23.0701,American Literature (United States).,0
23.0702,American Literature (Canadian).,0
23.0801,English Literature (British and Commonwealth).,0
23.1001,Speech and Rhetorical Studies.,0
23.1101,Technical and Business Writing.,0
23.1301,"Writing, General.",0
23.1302,Creative Writing.,0
23.1303,"Professional, Technical, Business, and Scientific Writing.",0
23.1304,Rhetoric and Composition.,0
23.1399,"Rhetoric and Composition/Writing Studies, Other.",0
23.1401,General Literature.,0
23.1402,American Literature (United States).,0
23.1403,American Literature (Canadian).,0
